tconst,ordering,nconst,category,job,characters
tt11347444,16,nm0006795,producer,producer,\N
tt11363310,6,nm0006795,self,\N,"[""Self - Host""]"
tt11363322,1,nm0006795,self,\N,"[""Self - Host""]"
tt11363322,2,nm0451321,self,\N,"[""Self""]"
tt11363324,1,nm0006795,self,\N,"[""Self - Host""]"
tt11363324,2,nm0451321,self,\N,"[""Self""]"
tt11363344,6,nm0006795,self,\N,"[""Self - Host""]"
tt11363346,6,nm0006795,self,\N,"[""Self - Host""]"
tt11363588,18,nm0006795,producer,producer,\N
tt11369954,1,nm0006795,self,\N,"[""Self - Host""]"
tt11369960,1,nm0006795,self,\N,"[""Self - Host""]"
tt11370232,1,nm0006795,self,\N,"[""Self - Host""]"
tt11370462,1,nm0006795,self,\N,"[""Self - Host""]"
tt11371220,9,nm0006795,self,\N,"[""Self - Host""]"
tt11420998,18,nm0006795,producer,producer,\N
tt11421044,20,nm0006795,producer,producer,\N
tt11481152,7,nm0006795,self,\N,"[""Self - Host""]"
tt11481164,5,nm0006795,self,\N,"[""Self - Host""]"
tt11481174,3,nm0006795,self,\N,"[""Self - Host""]"
tt11481190,2,nm0006795,self,\N,"[""Self - Host""]"
tt11481202,6,nm0006795,self,\N,"[""Self - Host""]"
tt11481216,3,nm0006795,self,\N,"[""Self - Host""]"
tt11492682,8,nm0006795,self,\N,"[""Self""]"
tt11492682,20,nm0006795,producer,producer,\N
tt11492686,12,nm0006795,self,\N,"[""Self""]"
tt11492686,19,nm0006795,producer,producer,\N
tt11492690,16,nm0006795,producer,producer,\N
tt11492702,16,nm0006795,producer,producer,\N
tt11535838,10,nm0451321,actor,\N,"[""Narrator""]"
tt11535880,8,nm0451321,actor,\N,"[""Narrator""]"
tt11547892,17,nm0006795,producer,producer,\N
tt11571952,18,nm0006795,producer,producer,\N
tt11579102,20,nm0006795,producer,producer,\N
tt11579166,17,nm0006795,producer,producer,\N
tt11681314,17,nm0451321,producer,producer,\N
tt11686978,17,nm0006795,producer,producer,\N
tt11686982,19,nm0006795,producer,producer,\N
tt11686994,20,nm0006795,producer,producer,\N
tt11687016,20,nm0006795,producer,producer,\N
tt11687024,20,nm0006795,producer,producer,\N
tt11719228,20,nm0006795,producer,producer,\N
tt11719262,20,nm0006795,producer,producer,\N
tt1174041,1,nm0006795,actor,\N,"[""Samir Khanna""]"
tt11792060,5,nm0006795,archive_footage,\N,"[""Self""]"
tt11796256,5,nm0006795,self,\N,"[""Self - Host""]"
tt11796342,1,nm0006795,self,\N,"[""Self - Host""]"
tt11798836,4,nm0006795,self,\N,"[""Self - Host""]"
tt11798838,5,nm0006795,self,\N,"[""Self - Host""]"
tt11798854,4,nm0006795,self,\N,"[""Self - Host""]"
tt11798856,2,nm0006795,self,\N,"[""Self - Host""]"
tt11799476,2,nm0006795,self,\N,"[""Self - Host""]"
tt11799478,2,nm0006795,self,\N,"[""Self - Host""]"
tt1182884,6,nm0451321,actor,\N,"[""Pawan Raj Gandhi""]"
tt1182884,7,nm0451321,actor,\N,"[""PRG""]"
tt1182937,1,nm0451321,actor,\N,"[""Surinder 'Suri' Sahni""]"
tt1182937,2,nm0451321,actor,\N,"[""Raj Kapoor""]"
tt11853602,19,nm0006795,producer,producer,\N
tt11853606,19,nm0006795,producer,producer,\N
tt11853616,20,nm0006795,producer,producer,\N
tt1185412,1,nm0006795,actor,\N,"[""Veer Pratap Singh""]"
tt1185412,2,nm0006795,actor,\N,"[""Mahendra Pratap Singh""]"
tt1185412,15,nm0006795,writer,story,\N
tt11855522,21,nm0006795,producer,producer,\N
tt11855566,20,nm0006795,producer,producer,\N
tt11888012,18,nm0006795,producer,producer,\N
tt1188982,1,nm0006795,actor,\N,"[""Jai Agnihotri""]"
tt1188996,1,nm0451321,actor,\N,"[""Rizvan Khan""]"
tt11929134,20,nm0006795,producer,producer,\N
tt11929148,19,nm0006795,producer,producer,\N
tt11929250,1,nm0451321,self,\N,"[""Self - Host""]"
tt11935102,1,nm0451321,self,\N,"[""Self - Host""]"
tt11935740,20,nm0006795,producer,producer,\N
tt11941182,3,nm0451321,self,\N,"[""Self - Winner""]"
tt11941196,2,nm0451321,self,\N,"[""Self - Host""]"
tt11967006,1,nm0451321,self,\N,"[""Self - Host & Winner""]"
tt11973002,3,nm0451321,self,\N,"[""Self - Winner""]"
tt11974500,5,nm0451321,self,\N,"[""Self - Winner""]"
tt11975046,20,nm0006795,producer,producer,\N
tt11975048,20,nm0006795,producer,producer,\N
tt11981890,7,nm0451321,self,\N,"[""Self - Interviewee""]"
tt12008854,17,nm0006795,producer,producer,\N
tt12018980,19,nm0006795,producer,producer,\N
tt12256398,6,nm11588799,self,\N,"[""Self""]"
tt12264058,17,nm0451321,producer,producer,\N
tt12265004,17,nm0451321,producer,producer,\N
tt12265042,17,nm0451321,producer,producer,\N
tt12454622,17,nm6322549,producer,producer,\N
