nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt2112124,2,actor,\N,"[""Rahul Mithaiwala""]",movie,Chennai Express,Chennai Express,0,2013,\N,141,"Action,Comedy,Romance",6.2,67529
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt2176013,1,actor,\N,"[""Samar Anand""]",movie,Jab Tak Hai Jaan,Jab Tak Hai Jaan,0,2012,\N,176,"Drama,Romance",6.7,60649
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt2461132,1,actor,\N,"[""Chandramohan 'Charlie' Sharma""]",movie,Happy New Year,Happy New Year,0,2014,\N,180,"Action,Comedy,Drama",5.0,42827
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt27139868,1,actor,\N,\N,movie,Yo Yo Honey Singh: Famous,Yo Yo Honey Singh: Famous,0,2024,\N,80,"Documentary,Drama",6.8,4994
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt3405236,2,actor,\N,"[""Raees""]",movie,Raees,Raees,0,2017,\N,143,"Action,Crime,Drama",6.6,52226
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt3495026,1,actor,\N,"[""Gaurav Chandna""]",movie,Fan,Fan,0,2016,\N,142,"Action,Drama,Thriller",6.8,50694
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt3495026,2,actor,\N,"[""Aryan Khanna""]",movie,Fan,Fan,0,2016,\N,142,"Action,Drama,Thriller",6.8,50694
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt4535650,1,actor,\N,"[""Raj""]",movie,Dilwale,Dilwale,0,2015,\N,158,"Action,Comedy,Drama",5.1,40435
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt4535650,2,actor,\N,"[""Kaali""]",movie,Dilwale,Dilwale,0,2015,\N,158,"Action,Comedy,Drama",5.1,40435
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt5946128,2,actor,\N,"[""Dr. Jehangir Khan""]",movie,Dear Zindagi,Dear Zindagi,0,2016,\N,151,"Drama,Romance",7.4,45246
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt5997666,1,actor,\N,"[""Harinder 'Harry' Singh Nehra""]",movie,Jab Harry Met Sejal,Jab Harry Met Sejal,0,2017,\N,143,"Comedy,Drama,Romance",5.1,23579
